Open Time,Open,High,Low,Close,Volume,RSI,Type
2024-07-11 19:00:00,57841.27,57849.41,57340.0,57378.01,1013.33939,,
2024-07-11 20:00:00,57378.0,57590.9,57205.45,57554.0,732.50048,100.0,Overbought
2024-07-11 21:00:00,57554.0,57636.0,57315.94,57460.02,416.48082,65.18872467311078,Bearish Crossover
2024-07-11 22:00:00,57460.02,57538.88,57150.0,57338.58,601.35614,44.963082190030825,
2024-07-11 23:00:00,57338.58,57399.88,57152.38,57339.89,569.4447,45.146669382765936,
2024-07-12 00:00:00,57339.89,57571.86,57150.01,57178.0,694.96356,31.96841023421824,
2024-07-12 01:00:00,57178.0,57346.97,56542.47,56950.01,1628.21195,22.655251725018857,Oversold
2024-07-12 02:00:00,56950.01,57419.22,56880.29,57332.88,824.41036,48.06387122791641,Bullish Crossover
2024-07-12 03:00:00,57332.88,57368.0,56852.94,56914.01,607.85729,35.356678490727845,
2024-07-12 04:00:00,56914.01,57067.75,56716.68,57018.0,536.27817,39.33828102325948,
2024-07-12 05:00:00,57018.01,57104.92,56942.0,57026.0,450.77894,39.62436554208184,
2024-07-12 06:00:00,57026.01,57416.13,57020.15,57210.0,882.62489,45.532433136736536,
2024-07-12 07:00:00,57210.01,57319.5,56836.29,57106.94,1039.70006,43.166497763929364,
2024-07-12 08:00:00,57106.95,57334.32,57028.87,57323.02,864.99665,48.749926118564794,
2024-07-12 09:00:00,57323.03,57325.6,56864.04,56949.99,611.58028,41.68085519922238,
2024-07-12 10:00:00,56950.0,57190.0,56767.05,57172.84,702.76133,42.724176898173454,
2024-07-12 11:00:00,57172.84,57278.0,57060.0,57203.54,963.18528,44.9829426309036,
2024-07-12 12:00:00,57203.54,57479.51,57000.0,57382.3,1765.76776,50.836458253616016,
2024-07-12 13:00:00,57382.29,58006.79,57355.8,57850.2,1948.59464,58.28428014376672,
2024-07-12 14:00:00,57850.2,58020.0,57688.9,57820.01,1408.25912,60.88783667821022,
2024-07-12 15:00:00,57820.0,58278.0,57775.27,58214.0,1581.77278,70.29338950451,Bullish Divergence
2024-07-12 16:00:00,58213.99,58428.91,57936.97,58116.01,1495.85528,63.8391042655538,Bearish Crossover
2024-07-12 17:00:00,58116.0,58317.12,57951.01,58161.82,718.93734,75.39967838459522,Overbought
2024-07-12 18:00:00,58161.82,58526.68,58065.0,58296.9,1034.84589,75.70715273534259,Overbought
2024-07-12 19:00:00,58296.9,58355.51,57500.0,57576.01,1662.86668,58.59302009480281,Bearish Crossover
2024-07-12 20:00:00,57576.01,57646.0,57150.06,57542.01,1140.2886,55.44219805725944,
2024-07-12 21:00:00,57542.0,57680.6,57502.0,57597.03,334.05137,58.16193638855673,
2024-07-12 22:00:00,57597.02,57874.29,57580.0,57792.01,466.50677,57.86581868314343,
2024-07-12 23:00:00,57792.01,57906.1,57716.0,57889.1,287.36191,67.3571758617504,Bearish Divergence
2024-07-13 00:00:00,57889.09,57926.5,57762.39,57835.58,314.73295,63.067052588409915,
2024-07-13 01:00:00,57835.57,57969.7,57807.94,57880.0,290.06439,63.265794386658605,
2024-07-13 02:00:00,57880.0,57958.38,57766.78,57946.43,516.37692,61.572799520783214,
2024-07-13 03:00:00,57946.43,57991.5,57786.65,57814.0,325.65898,49.13884976972563,Bearish Divergence
2024-07-13 04:00:00,57814.0,57852.13,57769.82,57775.86,280.96809,48.953687333810436,
2024-07-13 05:00:00,57775.86,58179.92,57756.63,58076.02,746.6456,46.57780908351346,
2024-07-13 06:00:00,58076.02,58216.08,58002.0,58038.55,327.94368,48.019371599230865,Bearish Divergence
2024-07-13 07:00:00,58038.55,58170.33,58013.29,58170.32,276.61767,50.20819045752914,Bullish Divergence
2024-07-13 08:00:00,58170.33,58198.46,57940.1,57949.93,340.85691,41.842564336463255,
2024-07-13 09:00:00,57950.2,58854.98,57900.57,58678.02,1451.98249,75.82137953334508,Overbought
2024-07-13 10:00:00,58678.02,58759.98,58346.58,58436.67,839.28392,69.10637861664246,Bearish Crossover
2024-07-13 11:00:00,58436.67,58599.0,58383.32,58534.0,433.05644,69.65476155514648,
2024-07-13 12:00:00,58534.0,58899.46,58434.38,58768.01,935.2401,70.14364732106021,Overbought
2024-07-13 13:00:00,58768.01,58830.0,58576.1,58617.72,603.25172,64.71483964779078,Bearish Crossover
