Open Time,Open,High,Low,Close,Volume,EMA_12,EMA_26,MACD,Signal,Histogram,Signal_Crossover,Divergence
2022-12-31 19:00:00,16577.78,16590.06,16565.1,16570.14,4044.43359,16570.14,16570.14,0.0,0.0,0.0,0,
2022-12-31 20:00:00,16570.14,16574.97,16564.09,16568.6,2622.14355,16569.903076923074,16570.025925925926,-0.12284900285158074,-0.024569800570316148,-0.09827920228126459,-1,
2022-12-31 21:00:00,16568.19,16571.64,16544.12,16548.28,3618.77389,16566.57644970414,16568.41511659808,-1.8386668939419906,-0.38738921924465103,-1.4512776746973395,0,
2022-12-31 22:00:00,16548.28,16567.49,16470.0,16520.81,6695.13625,16559.53545744196,16564.88881166489,-5.35335422292701,-1.3805822199811228,-3.972772002945887,0,
2022-12-31 23:00:00,16520.28,16551.24,16487.74,16542.4,4973.43307,16556.899233220123,16563.222973763786,-6.323740543663007,-2.3692138847175,-3.954526658945507,0,Bearish
2023-01-01 00:00:00,16541.77,16545.7,16508.39,16529.67,4364.8357,16552.71012041703,16560.737568299803,-8.02744788277414,-3.5008606843288286,-4.526587198445312,0,
2023-01-01 01:00:00,16529.59,16556.8,16525.78,16551.47,3590.06669,16552.519332660562,16560.051081759077,-7.53174909851441,-4.307038367165945,-3.2247107313484653,0,
2023-01-01 02:00:00,16551.47,16559.77,16538.14,16548.19,3318.84038,16551.853281482014,16559.172483110255,-7.3192016282409895,-4.909471019380954,-2.409730608860036,0,Bullish
2023-01-01 03:00:00,16548.19,16548.19,16518.21,16533.04,4242.0805,16548.95893048478,16557.236743620608,-8.277813135828183,-5.583139442670399,-2.6946736931577835,0,
2023-01-01 04:00:00,16533.04,16535.97,16511.92,16521.85,4285.00909,16544.788325794812,16554.615503352416,-9.827177557603136,-6.431947065656947,-3.3952304919461893,0,
2023-01-01 05:00:00,16522.22,16534.98,16512.3,16530.71,3717.37178,16542.622429518688,16552.84472532631,-10.222295807623595,-7.190016814050276,-3.0322789935733194,0,Bearish
2023-01-01 06:00:00,16530.71,16550.0,16528.81,16539.79,3344.90206,16542.186671131196,16551.877708635475,-9.691037504278938,-7.690220952096009,-2.000816552182929,0,
2023-01-01 07:00:00,16539.79,16544.57,16499.01,16526.19,5184.95822,16539.72564480332,16549.974915403218,-10.249270599899319,-8.202030881656672,-2.047239718242647,0,
2023-01-01 08:00:00,16525.7,16534.03,16508.45,16513.34,4271.92023,16535.66631483358,16547.26121796594,-11.594903132361651,-8.880605331797668,-2.7142978005639833,0,
2023-01-01 09:00:00,16513.33,16542.49,16505.2,16537.88,4100.75049,16536.00688178226,16546.566312931427,-10.559431149165903,-9.216370495271315,-1.3430606538945877,0,
2023-01-01 10:00:00,16538.32,16548.71,16533.42,16548.34,3803.76616,16537.90428458499,16546.69769715873,-8.793412573737442,-9.131778910964542,0.3383663372271002,1,
2023-01-01 11:00:00,16547.98,16557.0,16540.2,16556.66,3739.53013,16540.78977926422,16547.43564551734,-6.645866253118584,-8.63459637939535,1.9887301262767672,0,
2023-01-01 12:00:00,16556.66,16572.94,16548.58,16560.93,4150.48564,16543.888274762034,16548.435227330872,-4.546952568838606,-7.817067617284002,3.2701150484453967,0,
2023-01-01 13:00:00,16561.29,16567.26,16539.05,16548.04,4379.68203,16544.52700172172,16548.40595123229,-3.878949510570237,-7.02944399594125,3.150494485371013,0,Bullish
2023-01-01 14:00:00,16547.61,16558.56,16540.85,16542.94,3294.99093,16544.282847610684,16548.001065955825,-3.7182183451404853,-6.367198865781098,2.6489805206406123,0,Bullish
2023-01-01 15:00:00,16542.94,16559.99,16533.68,16558.73,3220.93236,16546.505486439808,16548.79580181095,-2.2903153711413324,-5.551822166853145,3.2615067957118127,0,
2023-01-01 16:00:00,16558.73,16584.66,16558.0,16565.14,4962.13235,16549.372334679836,16550.006483158286,-0.634148478449788,-4.568287429172474,3.9341389507226863,0,
2023-01-01 17:00:00,16565.13,16596.64,16562.51,16578.85,4714.40354,16553.907360113706,16552.143039961375,1.7643201523314929,-3.301765912871681,5.066086065203174,0,
2023-01-01 18:00:00,16579.25,16603.89,16578.85,16591.88,4146.37245,16559.749304711597,16555.086518482753,4.6627862288441975,-1.7088554845285056,6.3716417133727035,0,
2023-01-01 19:00:00,16591.35,16623.65,16591.34,16603.08,4709.74023,16566.415565525196,16558.641591187734,7.773974337462278,0.18771047986965117,7.586263857592627,0,
2023-01-01 20:00:00,16603.53,16628.0,16600.55,16604.51,4189.05318,16572.27624775209,16562.039251099755,10.236996652332891,2.1975677143622994,8.039428937970591,0,
2023-01-01 21:00:00,16604.51,16608.83,16592.63,16606.68,3656.77804,16577.569132713306,16565.345973240514,12.223159472792759,4.202686066048392,8.020473406744367,0,
2023-01-01 22:00:00,16607.02,16613.85,16586.24,16602.12,3690.19661,16581.34618921895,16568.069975222697,13.276213996254228,6.017391652089559,7.258822344164669,0,Bullish
2023-01-01 23:00:00,16602.39,16625.0,16600.8,16616.75,3846.61495,16586.792929339113,16571.675902983978,15.11702635513575,7.837318592698798,7.279707762436951,0,
2023-01-02 00:00:00,16617.17,16629.05,16581.25,16588.35,4327.06948,16587.032478671557,16572.911021281463,14.121457390094292,9.094146352177898,5.0273110379163946,0,
2023-01-02 01:00:00,16587.97,16589.2,16548.7,16565.04,5791.85443,16583.649020414396,16572.327982668023,11.321037746372895,9.539524631016898,1.781513115355997,0,
2023-01-02 02:00:00,16565.03,16595.92,16555.0,16587.85,3150.41571,16584.295324966028,16573.47776172965,10.817563236378192,9.795132352089157,1.0224308842890348,0,Bearish
2023-01-02 03:00:00,16587.99,16707.25,16581.8,16661.94,6194.13548,16596.240659586638,16580.030520120046,16.2101394665915,11.078133774989626,5.132005691601874,0,
2023-01-02 04:00:00,16662.38,16674.84,16629.29,16639.44,4983.39445,16602.886711957923,16584.431222333376,18.455489624546317,12.553604944900965,5.901884679645352,0,Bullish
2023-01-02 05:00:00,16639.74,16662.94,16619.44,16647.58,4976.78402,16609.762602425937,16589.10890956794,20.65369285799534,14.17362252751984,6.480070330475499,0,
2023-01-02 06:00:00,16648.37,16663.27,16635.93,16641.1,3210.61774,16614.583740514256,16592.960101451798,21.623639062458096,15.663625834507492,5.960013227950604,0,Bullish
2023-01-02 07:00:00,16641.1,16769.51,16637.44,16721.28,12856.08557,16630.998549665906,16602.465279122036,28.533270543870458,18.237554776380087,10.295715767490371,0,
2023-01-02 08:00:00,16721.27,16772.01,16707.52,16733.71,7080.81126,16646.800311255767,16612.187110298182,34.61320095758492,21.512684012621055,13.100516944963868,0,
2023-01-02 09:00:00,16733.71,16745.68,16710.54,16717.5,5599.20896,16657.67718644719,16619.98806509091,37.68912135627761,24.74797148135237,12.941149874925241,0,Bullish
2023-01-02 10:00:00,16717.5,16762.86,16708.68,16727.95,5892.57705,16668.488388532238,16627.985245454547,40.503143077690765,27.899005800620053,12.604137277070713,0,
2023-01-02 11:00:00,16727.72,16741.72,16704.07,16735.11,4695.34392,16678.737867219585,16635.920412457912,42.81745476167271,30.882695592830586,11.93475916884212,0,
2023-01-02 12:00:00,16735.51,16746.29,16719.3,16721.54,4262.00363,16685.322810724265,16642.262604127696,43.060206596568605,33.31819779357819,9.742008802990412,0,Bullish
2023-01-02 13:00:00,16721.96,16725.6,16685.0,16694.78,5598.29706,16686.77776292053,16646.152781599718,40.62498132081237,34.77955449902503,5.845426821787335,0,
