Open Time,Open,High,Low,Close,Volume,Middle Band,Standard Deviation,Upper Band,Lower Band,Upper Touch,Lower Touch,Reentry Upper,Reentry Lower,Squeeze,Squeeze Signal,Bollinger Bounce Buy,Bollinger Bounce Sell,Double Bottom,Double Top
2024-07-12,57339.89,58526.68,56542.47,57889.1,23652.4569,,,,,False,False,False,False,,False,False,False,False,False
2024-07-13,57889.09,59850.0,57756.63,59204.02,15357.74519,,,,,False,False,False,False,,False,False,False,False,False
2024-07-14,59204.01,61420.69,59194.01,60797.91,21178.33907,,,,,False,False,False,False,,False,False,False,False,False
2024-07-15,60797.91,64900.0,60632.3,64724.14,38690.9782,,,,,False,False,False,False,,False,False,False,False,False
2024-07-16,64724.06,65388.97,62373.24,65043.99,42530.52915,,,,,False,False,False,False,,False,False,False,False,False
2024-07-17,65044.0,66128.63,63854.0,64087.99,29567.52954,,,,,False,False,False,False,,False,False,False,False,False
2024-07-18,64087.99,65133.3,63238.48,63987.92,22568.7225,,,,,False,False,False,False,,False,False,False,False,False
2024-07-19,63987.92,67386.0,63300.67,66660.0,35634.72739,,,,,False,False,False,False,,False,False,False,False,False
2024-07-20,66660.01,67598.0,66222.46,67139.96,14386.92434,,,,,False,False,False,False,,False,False,False,False,False
2024-07-21,67139.97,68366.66,65777.0,68165.34,21819.11191,,,,,False,False,False,False,,False,False,False,False,False
2024-07-22,68165.35,68474.55,66559.97,67532.01,21451.04303,,,,,False,False,False,False,,False,False,False,False,False
2024-07-23,67532.0,67750.98,65441.08,65936.01,31406.15316,,,,,False,False,False,False,,False,False,False,False,False
2024-07-24,65936.0,67102.01,65111.0,65376.0,23082.56277,,,,,False,False,False,False,,False,False,False,False,False
2024-07-25,65376.01,66175.49,63456.7,65799.95,35126.42934,,,,,False,False,False,False,,False,False,False,False,False
2024-07-26,65799.95,68200.0,65722.63,67907.99,24244.36023,,,,,False,False,False,False,,False,False,False,False,False
2024-07-27,67908.0,69399.99,66650.0,67896.5,31710.21921,,,,,False,False,False,False,,False,False,False,False,False
2024-07-28,67896.49,68318.43,67066.66,68249.88,10868.69394,,,,,False,False,False,False,,False,False,False,False,False
2024-07-29,68249.88,70079.99,66428.0,66784.69,36467.29633,,,,,False,False,False,False,,False,False,False,False,False
2024-07-30,66784.68,67000.0,65302.67,66188.0,23132.25441,,,,,False,False,False,False,,False,False,False,False,False
2024-07-31,66188.0,66849.24,64530.0,64628.0,22625.43905,65199.969999999994,2906.578394709058,71013.12678941811,59386.81321058188,False,False,False,False,11626.313578836227,False,False,False,False,False
2024-08-01,64628.01,65659.78,62302.0,65354.02,35542.26854,65573.21599999999,2343.012242959233,70259.24048591845,60887.19151408152,False,False,False,False,9372.048971836928,False,False,False,False,False
2024-08-02,65354.02,65596.14,61230.01,61498.33,38820.42937,65687.93149999999,2052.9730219758862,69793.87754395176,61581.98545604822,False,True,False,False,8211.892087903543,False,False,False,False,False
2024-08-03,61498.34,62198.22,59850.0,60697.99,28034.71567,65682.93549999999,2065.5822812656725,69814.10006253133,61551.770937468646,False,True,False,False,8262.329125062686,False,False,False,False,False
2024-08-04,60697.99,61117.63,57122.77,58161.0,31616.52003,65354.7785,2661.345698140969,70677.46989628194,60032.08710371806,False,True,False,False,10645.382792563876,False,False,False,False,False
2024-08-05,58161.0,58305.59,49000.0,54018.81,162065.59186,64803.51950000001,3677.1150033895324,72157.74950677907,57449.289493220946,False,True,False,False,14708.460013558128,False,False,False,False,False
2024-08-06,54018.82,57040.99,53950.0,56022.01,55884.77676,64400.22050000001,4169.136255238234,72738.49301047648,56061.94798952354,False,True,False,False,16676.545020952937,False,False,False,False,False
2024-08-07,56022.0,57736.05,54558.62,55134.16,44269.37684,63957.532499999994,4656.7589664496545,73271.0504328993,54644.01456710068,False,False,False,True,18627.035865798614,False,False,False,False,False
2024-08-08,55133.76,62745.14,54730.0,61685.99,48349.52949,63708.831999999995,4637.616296327701,72984.0645926554,54433.59940734459,False,False,False,False,18550.465185310808,False,False,False,False,False
2024-08-09,61686.0,61744.37,59535.0,60837.99,30972.48017,63393.733499999995,4606.2061479444055,72606.1457958888,54181.321204111184,False,False,False,False,18424.824591777622,False,False,False,False,False
2024-08-10,60837.99,61470.58,60242.0,60923.51,9995.20621,63031.64200000001,4494.65844924208,72020.95889848417,54042.325101515846,False,False,False,False,17978.633796968323,False,False,False,False,False
2024-08-11,60923.51,61858.0,58286.73,58712.59,19189.84512,62590.67100000001,4462.409819333409,71515.49063866683,53665.85136133319,False,False,False,False,17849.63927733364,False,False,False,False,False
2024-08-12,58712.59,60711.09,57642.21,59346.64,37009.91743,62261.2025,4445.638790001633,71152.48008000327,53369.92491999673,False,False,False,False,17782.555160006537,False,False,False,False,False
2024-08-13,59346.64,61578.1,58392.88,60587.15,27858.95851,62021.76000000001,4397.751906927481,70817.26381385497,53226.256186145045,False,False,False,False,17591.00762770992,False,False,False,False,False
2024-08-14,60587.16,61800.0,58433.18,58683.39,28422.76326,61665.93199999999,4363.737763672464,70393.40752734493,52938.45647265507,False,False,False,False,17454.95105468986,False,False,False,False,False
2024-08-15,58683.39,59849.38,56078.54,57541.06,37686.17622,61147.5855,4195.73440777841,69539.05431555682,52756.11668444318,False,False,False,False,16782.937631113637,False,False,False,False,False
2024-08-16,57541.05,59817.76,57098.62,58874.6,27610.84344,60696.49049999999,3907.0007299050776,68510.49195981014,52882.48904018984,False,False,False,False,15628.002919620303,False,False,False,False,False
2024-08-17,58874.59,59700.0,58785.05,59491.99,7721.72931,60258.596,3483.725592094599,67226.0471841892,53291.144815810796,False,False,False,False,13934.902368378403,False,False,False,False,False
2024-08-18,59491.99,60284.99,58408.92,58427.35,13634.85717,59840.72900000001,3144.4340001206683,66129.59700024134,53551.86099975867,False,False,False,False,12577.73600048267,False,False,False,False,False
2024-08-19,58427.35,59617.63,57787.3,59438.5,22809.31251,59503.254,2766.890616118071,65037.03523223614,53969.47276776386,False,False,False,False,11067.562464472285,True,False,False,False,False
