Open Time,Open,High,Low,Close,Volume,EMA_12,EMA_26,id,type
2024-07-13,57889.09,59850.0,57756.63,59204.02,15357.74519,59204.02,59204.02,,
2024-07-14,59204.01,61420.69,59194.01,60797.91,21178.33907,59449.233846153846,59322.08592592592,,
2024-07-15,60797.91,64900.0,60632.3,64724.14,38690.9782,60260.75786982248,59722.23807956104,,
2024-07-16,64724.06,65388.97,62373.24,65043.99,42530.52915,60996.63973600364,60116.44192551948,,
2024-07-17,65044.0,66128.63,63854.0,64087.99,29567.52954,61472.232084310774,60410.6306717773,,
2024-07-18,64087.99,65133.3,63238.48,63987.92,22568.7225,61859.26099441681,60675.61506646046,,
2024-07-19,63987.92,67386.0,63300.67,66660.0,35634.72739,62597.836226044994,61118.90283931524,,
2024-07-20,66660.01,67598.0,66222.46,67139.96,14386.92434,63296.624498961144,61564.90707344004,,
2024-07-21,67139.97,68366.66,65777.0,68165.34,21819.11191,64045.65765296712,62053.82803096299,,
2024-07-22,68165.35,68474.55,66559.97,67532.01,21451.04303,64582.01955251064,62459.6192879287,,
2024-07-23,67532.0,67750.98,65441.08,65936.01,31406.15316,64790.32577520131,62717.12971104508,,
2024-07-24,65936.0,67102.01,65111.0,65376.0,23082.56277,64880.429502093415,62914.083065782484,,
2024-07-25,65376.01,66175.49,63456.7,65799.95,35126.42934,65021.89419407904,63127.850986835634,,
2024-07-26,65799.95,68200.0,65722.63,67907.99,24244.36023,65465.908933451494,63481.935358181145,,
2024-07-27,67908.0,69399.99,66650.0,67896.5,31710.21921,65839.84602061281,63808.940146464025,,
2024-07-28,67896.49,68318.43,67066.66,68249.88,10868.69394,66210.62047898007,64137.89865413336,,
2024-07-29,68249.88,70079.99,66428.0,66784.69,36467.29633,66298.9388668293,64333.9572723457,,
2024-07-30,66784.68,67000.0,65302.67,66188.0,23132.25441,66281.87134885555,64471.29377069047,,
2024-07-31,66188.0,66849.24,64530.0,64628.0,22625.43905,66027.42960287778,64482.90163952821,,
2024-08-01,64628.01,65659.78,62302.0,65354.02,35542.26854,65923.82812551197,64547.428925489075,,
2024-08-02,65354.02,65596.14,61230.01,61498.33,38820.42937,65242.982260048586,64321.56974582322,,
